,Name,Type,CompositionElements,ActiveSpeciesElements,SupportMaterial,ConversionTypes,DeactivationRates,FeedCompositionAndRatios,ReactionTemperature,InletFlowRate,CatalystLoadingOrGHSV,TypeIdentify,FeedGasComposition,ContainsOxidizingAgent,Enhancement,Selectivity,StructureType,PreparationMethod,PromoterElements,StabilityOriginal,ConvertedStability,PropanePartialPressure,PropyleneYield,PropaneProductionRate,PropaneConversion,ThermalConductivity,PropeneYield,PropeneProductionRate,TurnoverFrequency,DOI,Year,ConversionRate
199,PtNa/Zn(1.0%)-ZSM-5,Metal,"Pt, Na, Zn",Pt,Zeolites,{'Propane conversion': '40.60%'},7.3% after 10 h,H2/C3 = 0.25 (molar ratio),863.15,,WHSV = 3.0 h-1,PDH,"Propane, Hydrogen",False,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Catalyst preparation method', 'Stability': 'Catalyst preparation method'}",91.4,,,"Na, Zn",7.3% deactivation after 10 h,0.0073,,37.1,,,,,,,10.1016/j.cej.2015.01.008,2015.0,40.6
200,BS-1,Single Atom,"B, Si",B,Zeolites,{'Propane conversion': '41.4%'},,C3H8/O2/He = 1/1/8,833.15,,3600 L kg-1 h-1,ODH,"C3H8, O2, He",True,"{'Stability': 'Structural Composition', 'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",81.2,,,,210 hours,8.8,,33.6,,,,,,,10.1126/science.abe7935,2021.0,41.4
201,Edge-hydroxylated boron nitride (BNOH),Others,"B, N, O","B, O",Boron-based,{'Propane conversion': '20.6%'},,C3H8:O2:He = 1:1.5:3.5,803.15,192.0,37.6 g/gcat/h,ODH,"C3H8, O2, He",True,"{'Selectivity': 'Structural composition (B-OH groups)', 'Conversion': 'Structural composition (B-OH groups)', 'Stability': 'Structural composition (B-OH groups)'}",80.2,,,,300 h,12.5,,80.2,,,,,,,10.1002/cctc.201700004,2017.0,20.6
202,Cr/Al2O3 catalyst,Metal Oxide,"Cr, Al",Cr,Aluminum Oxide,{'propane conversion': '10%'},,,853.15,,,PDH,"propane, He",False,{'Conversion': 'Structural Composition'},,,,,,,,,,,,,,,10.1039/b309650p,2003.0,10.0
203,SnOx/SiO2,Metal Oxide,Sn,Sn,Silica Oxide,{'propane conversion': '29.9%'},46.6% in 5 h,Pure propane feed,873.15,,,PDH,Propane,False,"{'Stability': 'Structural Composition', 'Selectivity': 'Structural Composition'}",84.0,,,,5 h,1.0,,84.0,,,,,,,10.1016/j.cattod.2020.05.053,2021.0,29.9
204,Various oxide-based catalysts,Metal Oxide,V,V,Oxides,{'N/A': 'N/A'},,,,,,ODH,"Propane, Air",True,{'Selectivity': 'Absence of pure V2O5 phase'},,,,,,,,,,,,,,,10.1016/0926-860X(93)80120-F,1993.0,
205,Pt/H-MFI,Metal,Pt,Pt,Zeolites,{'Propane conversion': 'N/A'},,C3H8/C6H6=1,573773.0,,,PDH,"Propane, Benzene",False,"{'Selectivity': 'Incorporation of Pt into the catalytic system', 'Conversion': 'Addition of an H2 scavenger'}",60.0,,,,,,,96.0,,,,,,,10.1006/jcat.2000.2910,2000.0,
206,Hexagonal boron nitride,Metal Oxide,"B, N","B, O",,{'Propane conversion': '11.6-33.1%'},,C3H8:O2:N2 = 8:8:24,768.15,40.0,100 mg,ODH,"C3H8, O2, N2",True,"{'Conversion': 'Co-feeding propane and propylene', 'Selectivity': 'Minimizing over-oxidation'}",97.6,,,,,,,,,,,,,,10.1038/s41467-022-35776-3,2023.0,33.1
207,V2O5/TiO2,Metal Oxide,"V, Ti",V,Others,{'Propane conversion': '0-70%'},,"C3H8/O2 = 1/1, 1/3, 2/1, 2/3",498673.0,,,ODH,"C3H8, O2",True,{'Selectivity': 'Promoter'},65.0,,,Rb,,,,,,,,,,,10.1016/j.apcata.2004.04.021,2004.0,70.0
208,Pd-In intermetallic alloy nanoparticles,Alloy,"Pd, In",Pd,Silica Oxide,{'Propane conversion': '20%'},,H2/C3H8 = 1:1,873.0,,,PDH,"C3H8, H2, Ar",False,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",99.0,Intermetallic Compounds,Impregnation Methods,In,,,,,,,,,,,10.1021/acscatal.1c01916,2021.0,20.0
209,Co-N-C/SiO2,Metal,"Co, N, C",Co,Silica Oxide,{'Propane conversion': '12-16%'},,,873.15,125.0,0.2 g,PDH,"Propane, Nitrogen",False,"{'Conversion': 'Structural composition', 'Stability': 'Preparation method', 'Selectivity': 'Preparation Method'}",95.0,,,,,,,,,,,,,,10.3390/catal12101262,2022.0,16.0
210,Zn/H-ZSM5,Metal Oxide,Zn,Zn,Zeolites,{},,"Propene/2-13C propane mixtures, C3H8/C3D8, H2/D2, C3H8/D2",,,,PDH,"Propane, Propene, Deuterium (D2)",False,"{'Selectivity': 'Catalyst composition (Zn cations)', 'Conversion': 'Catalyst composition (Zn cations)'}",,,,,,,,,,,,,,,10.1006/jcat.1998.2312,1999.0,
211,Monoclinic and tetragonal ZrO2,Metal Oxide,Zr,Zr,,{'Propane conversion': '5-33%'},,40 vol% C3H8 in N2,798.15,80.0,0.1-1.5 g,PDH,"C3H8, N2",False,"{'Activity': 'Crystallite size, phase composition', 'Selectivity': 'Crystallite size, phase composition'}",90.0,,,,,,,,,,,,,,10.1016/j.jcat.2019.02.012,2019.0,33.0
212,Fe-ZSM-5,Metal Oxide,Fe,,Zeolites,{'Propane conversion': '29.2-40%'},39% to 17% over 415 min,"5% C3H8, 5% N2O, N2O:C3H8 = 2:1",748.15,200.0,0.5 g,ODH,"C3H8, N2O",True,"{'Selectivity': 'Steam and high temperature treatments', 'Stability': 'Steam and high temperature treatments'}",73.2,,,,415 min,6.92,,20.0,,,,,,,10.1016/j.apcata.2012.06.038,2012.0,40.0
213,7.5Cr/Ce0.8Zr0.2O2,Metal Oxide,"Cr, Ce, Zr",Cr,Oxides,{'Propane conversion': '50%'},No significant deactivation,"20% propane, 20% oxygen",873.15,50.0,6000 h-1,ODH,"Propane, Oxygen",True,"{'Selectivity': 'Structural composition', 'Stability': 'Chemical looping process'}",31.0,,,,Stable for 50 cycles,,,31.0,,,,,,,10.1016/j.ces.2023.118697,2023.0,50.0
214,Co@NC-ZIFSA,Metal,"Co, N, C","Co, N",Carbon-based,{'Propane conversion': '29%'},,"10% propane, 90% N2",873.15,,7500 ml h-1 gcat-1,PDH,"Propane, Nitrogen",False,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",97.0,,,,5 h,,,97.0,,,,,,,10.1016/j.catcom.2022.106495,2022.0,29.0
215,Nitrogen-doped graphene monolith,Others,"C, N",,Carbon-based,{'propane conversion': '10%'},,"4% propane, 2% O2, balance He",723.15,15.0,40 mg,ODH,"propane, O2, He",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",55.0,,,,10 h,0.1,,5.3,,,,,,,10.3389/fchem.2021.759936_full,,10.0
216,Pt-Sn/Al2O3,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'Propane conversion': '35.3%'},,C3H8/H2/Ar = 11 : 6 : 33,848.15,100.0,17.9 h-1,PDH,"Propane, Hydrogen, Argon",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",94.0,Nanoparticulate Alloys,Impregnation Methods,Sn,,,,,,,,,,,10.1039/d2cy00921h,2022.0,35.3
217,Boron nitride (BN),Others,"B, N","B, N",,{'propane conversion': '9.7%'},,"10% C3H8, 20% O2, balanced in Ar",873.15,10.0,,ODH,"C3H8, O2, Ar",True,"{'Selectivity': 'Catalyst composition', 'Conversion': 'Gas-phase route'}",92.0,,,,,,,,,,,,,,10.1021/jacs.2c12970,2023.0,9.7
218,PtSn/Al2O3-0.10,Metal,"Pt, Sn","Pt, Sn",Aluminum Oxide,{'propane conversion': '53%'},0.012-0.014 h^-1,1:0.6 = C3H8:H2,891.15,,3.5 h^-1,PDH,"C3H8, H2",False,"{'Stability': 'Support Material', 'Conversion': 'Support Material', 'Selectivity': 'Preparation Method'}",80.1,,,,35.95% after 30h,0.014,,77.3,,,,,,,10.1016/j.jcis.2023.05.144,2023.0,53.0
219,Pt-Sn/ZrO2,Metal Oxide,"Pt, Sn, Zr, O","Pt, Sn",Oxides,{'Propane conversion': '40%'},,,,,,ODH,"Propane, Oxygen",True,"{'Selectivity': 'Catalyst composition', 'Conversion': 'Catalyst composition'}",95.0,,,"Sn, Zr",,,,,,,,,,,10.1016/j.ces.2011.11.047,2012.0,40.0
220,Mn1-(Vvac)-V2O3(0001),Metal Oxide,"V, O, Mn","Mn, V, O",,{'Propane conversion': 'N/A'},,,850.0,,,PDH,Propane,False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",,,,Mn,,,,,,,,,,,10.1016/j.cattod.2020.02.023,2021.0,
221,Tetrahedral nickel(II) phosphosilicate,Metal,"Ni, P, Si",Ni,Silica Oxide,{'Propane conversion': '18%'},2% over 3h,,873.15,,,PDH,C3H8,False,"{'Stability': 'Structural composition', 'Selectivity': 'Structural composition'}",90.0,,,,16% conversion after 3h,0.133,,,,,,,,,10.1002/cctc.201701815,2018.0,18.0
222,Fe/SiO2,Metal Oxide,Fe,Fe,Silica Oxide,{'Propane conversion': '49.5%'},,H2S/C3H8 = 0.4,873.15,,0.25 g,PDH,"C3H8, H2S, He",False,"{'Stability': 'Co-feeding H2S', 'Conversion': 'Co-feeding H2S', 'Selectivity': 'Iron sulfide active species'}",94.4,,,S,50 h,50.0,,,,,,,,,10.1016/j.apcata.2019.117238,2019.0,49.5
223,0.04CrSBA1,Metal Oxide,"Cr, Si",Cr,Silica Oxide,{'propane conversion': '26.7%'},10.1% activity loss after 240 min,CO2:C3H8:He = 5:1:9,823.15,30.0,200 mg catalyst,ODH,"Propane (C3H8), Carbon Dioxide (CO2), Helium (He)",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",90.2,,,,not mentioned,,,24.1,not mentioned,,,,,,10.1016/j.apcata.2009.11.040,2010.0,26.7
224,InO+/H-BEA,Metal Oxide,In,In,Zeolites,{'Propane conversion': 'N/A'},,,473673.0,,,ODH,Propane,False,"{'Conversion': 'Active species (InO+)', 'Selectivity': 'Active species (InO+)'}",,,,,,,,,,,,,,,10.1021/acs.jpcc.2c05888,2022.0,
225,Pt-In/Sm-TiO2,Alloy,"Pt, In, Sm, Ti, O","Pt, In",Oxides,{'Propane conversion': '19.3%'},,Pure propane,573.15,,,PDH,Propane,False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",97.0,Nanoparticulate Alloys,Impregnation Methods,Sm,,,,19.3,,,,,,,10.1002/anie.202300744,2023.0,19.3
226,V-Al-O catalysts,Metal Oxide,"V, Al, O",V,Aluminum Oxide,{'Propane conversion': '29%'},Very slow after initial period,C3H8:O2:He:N2 = 11:11:28:4 (vol%),698.15,,0.5-0.6 g,ODH,"C3H8, O2, He, N2",True,"{'Conversion': 'Increasing V content', 'Selectivity': 'Anaerobic operation'}",40.0,,,,Stable for 20-30 hours,1.25,,25.0,,,,,,,10.1016/j.cattod.2008.05.020,2009.0,29.0
227,Reused Cr adsorbent,Metal Oxide,Cr,Cr,Others,{'Propane conversion': 'N/A'},,,,,,PDH,Propane,False,"{'Stability': 'Avoiding addition of anions during preparation', 'Conversion': 'Catalyst preparation method'}",,,,,,,,,,,,,,,10.1021/acssuschemeng.8b05206,2019.0,
228,Pt4 cluster supported on carbon nanotube,Metal,Pt,Pt,Carbon-based,{'Propane conversion': 'N/A'},,,,,,PDH,Propane,False,"{'Stability': 'Structural composition', 'Conversion': 'Structural composition'}",,,,Sn,,,,,,,,,,,10.1002/cjoc.202000415,2021.0,
229,ZnZrxOy,Metal Oxide,"Zn, Zr","Zn, Zr",,{'propane conversion': '21%'},,5 vol% C3H8 in N2,723.15,25.0,0.1 g,PDH,"C3H8, N2",False,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",92.0,,,,,,,,,,,,,,10.1021/acssuschemeng.1c03074,2021.0,21.0
230,In2O3-Al2O3,Metal Oxide,"In, Al",In,Aluminum Oxide,{'Propane conversion': '35.7%'},2.9% loss after 8 h,Propane:CO2:N2 = 2.5:10:87.5 (vol%),873.0,10.0,200 mg,PDH,"Propane, CO2, N2",False,"{'Stability': 'Structural Composition', 'Conversion': 'Structural Composition'}",76.5,,,,20 h,0.05,2.5,27.0,,,,,,,10.1016/j.apcata.2010.01.011,2010.0,35.7
231,Rh/Al2O3,Metal,Rh,Rh,Aluminum Oxide,{'propane conversion': 'Not specified'},Not specified,C/O ratio,823933.0,,Not specified,ODH,"C3H8, O2, H2O, Ar",True,"{'Conversion': 'Reaction temperature', 'Selectivity': 'Feed composition'}",,,,,Not specified,,,,Not specified,,,,,,10.1002/cctc.201601237,2017.0,
232,Pt/0.5Sn-SBA-15,Alloy,"Pt, Sn",Pt,Silica Oxide,{'propane conversion': '43.8%'},12.6%,propane:Ar = 7:3 (molar ratio),853.15,,0.2 g,PDH,"propane, Ar",False,"{'Selectivity': 'Structural Composition', 'Conversion': 'Preparation Method', 'Stability': 'Preparation Method'}",98.5,Nanoparticulate Alloys,In Situ Synthesis,Sn,6 h,1.0,,43.1,,,,,,,10.1016/S1872-2067(17)62805-5,2017.0,43.8
233,ZnNbO,Metal Oxide,"Zn, Nb","Zn, Nb",,{'propane conversion': '28.1%'},,propane,873.15,,0.20 g s/cm3,PDH,propane,False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",84.0,,,,28.1% after 1 h,1.0,,28.1,,,,,,,10.1016/j.catcom.2014.03.007,2014.0,28.1
234,Chromia/Alumina (Cr2O3/γ-Al2O3),Metal Oxide,"Cr, Al",Cr,Aluminum Oxide,{'Propane conversion': '18%'},,Undiluted propane,773.15,,0.35 h-1,PDH,Propane,False,"{'Conversion': 'Reactor design', 'Selectivity': 'Reactor design'}",95.0,,,,Stable for 7 hours,0.14,,18.0,16.5 μmol/s,,,,,,10.1016/S0920-5861(99)00257-6,2000.0,18.0
235,Pt-Sn/Al2O3,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'Propane conversion': '3%'},,"5% C3H8, 95% He",848.0,,,PDH,"Propane, Helium",False,"{'Activity': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",100.0,Single-atom Alloys,In Situ Synthesis,Sn,,,,,,,,,,,10.1021/acscatal.2c05671,2023.0,3.0
236,2% B-SFC,Others,"C, B",B,Carbon-based,{'Propane conversion': '2.0%'},,C3H8:O2:Ar = 2:1:37,673.15,40.0,GHSV = 120 h-1,ODH,"C3H8, O2, Ar",True,"{'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",88.6,,,,55 h,55.0,,88.6,,,,,,,10.1016/j.cjche.2023.03.006,2023.0,2.0
237,Pt/HZSM-5,Metal,Pt,Pt,Zeolites,{'propane conversion': '10-11%'},0.038-0.06 h^-1,pure propane,723.15,20.0,6000 h^-1,PDH,propane,False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",40.0,,,,16-18 h,0.067,,40.0,550-800 μmol/g/min,,,,,,10.1016/j.apcata.2023.119368,2023.0,11.0
238,PtSn/TS-1,Alloy,"Pt, Sn","Pt, Sn",Zeolites,{'propane conversion': '53.5%'},6%/7 h,C3H8:H2:N2 = 1:1:4,873.15,,WHSV = 3 h-1,PDH,"C3H8, H2, N2",False,{'Stability': 'Support Material'},92.5,Nanoparticulate Alloys,Impregnation Methods,,7 h,0.14,,,,,,,,,10.1016/S1872-2067(19)63360-7,2019.0,53.5
239,In2O3/Al2O3,Metal Oxide,"In, Al, O",In,Aluminum Oxide,{'propane conversion': '20-24%'},gradual,C3H8:CO2:N2 = 2.5:10:87.5,873.0,10.0,200 mg,ODH,"C3H8, CO2, N2",True,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",84.0,,,,8 h,1.0,2.5,19.8,,,,,,,10.1016/j.apcata.2011.08.018,2011.0,24.0
240,ZrO2,Metal Oxide,"Zr, O",Zr,,{'propane conversion': '10%'},,40 vol% C3H8 in N2,823.15,10.0,,PDH,"C3H8, N2",False,"{'Activity': 'Preparation Method', 'Selectivity': 'Preparation Method', 'Stability': 'Preparation Method'}",85.0,,,,20 cycles,,,85.0,0.33 mmol/g/min,,,,,,10.1016/j.apcata.2019.117189,2019.0,10.0
241,Pt-Zn/H-ZSM-5,Alloy,"Pt, Zn","Pt, Zn",Zeolites,{'Propane conversion': '32%'},0.024 h-1,C3H8/O2 = 1.5,823.15,120.0,"30,000 mL/gcat/h",ODH,"C3H8, O2",True,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Zeolite support'}",90.0,Others,Impregnation Methods,,12 h,0.083,,29.0,120 g/gcat/h,,,,,,10.1016/j.cattod.2023.114365,2024.0,32.0
242,PtIn/Mg(Al)O,Alloy,"Pt, In","Pt, In",Others,{'Propane conversion': '61%'},"42% after 50 h, 16.7% after 48 h",,893.15,,0.3 g catalyst,PDH,"H2, C3H8, Ar",False,"{'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",95.0,Nanoparticulate Alloys,Impregnation Methods,In,50 h,2.08,,,,,,,,,10.1039/c5ra11284b,2015.0,61.0
243,VSbBiBaO/Al2O3,Metal Oxide,"V, Sb, Bi, Ba, O",V,Aluminum Oxide,{'Propane conversion': '24.5%'},,C3H8/O2/10%Ne-He = 10/8.7/81.3,653.15,25.0,2500 ml/g/h,ODH,"C3H8, O2, Ne, He",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",11.9,,,"Bi, Ba",,,,2.9,,,,,,,10.1039/d3cy00207a,2023.0,24.5
244,Pd/Ag composite membrane,Alloy,"Pd, Ag","Pd, Ag",,{'propane conversion': 'N/A'},,,,,,PDH,propane,False,"{'Conversion': 'Composite membrane', 'Stability': 'Reactor design'}",,,,,,,,,,,,,,,10.1016/S0376-7388(97)00133-6,1997.0,
245,PtSnNa/ZSM-5,Metal,"Pt, Sn, Na",Pt,Zeolites,{'Propane conversion': '30.4-31.2%'},Small deactivation rate,H2/C3H8 = 0.25 (molar ratio),863.15,,WHSV = 3.0 h-1,PDH,"Propane, Hydrogen",False,"{'Stability': 'Chlorine content', 'Conversion': 'Chlorine content', 'Selectivity': 'Chlorine content'}",96.5,,,"Sn, Na",45 h,45.0,100.0,30.4,,,,,,,10.1016/j.fuproc.2009.07.019,2009.0,31.2
246,0.5 wt% Co@Si-BEA,Metal,Co,Co,Aluminum Oxide,{'Propane conversion': '20-53%'},Slight drop from 53 to 46% over 20 h,C3H8/H2/N2 = 5/4/5 mL/min,863.15,,3.66 h-1 WHSV,PDH,"C3H8, H2, N2",False,"{'Selectivity': 'Dealumination of zeolite support', 'Conversion': 'Dealumination of zeolite support', 'Stability': 'Anchoring of isolated Co cations in zeolite micropores'}",93.0,,,,22 h,,,93.0,3.66 h-1 WHSV,,,,,,10.1016/j.cej.2022.140726,2023.0,53.0
247,Ce0.95Cr0.05O2,Metal Oxide,"Ce, Cr, O",Cr,Others,{'Hydrogen conversion': '15%'},,4:1:1 C3H8:C3H6:H2,823.15,,250 mg,ODH,"C3H8, C3H6, H2",True,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition', 'Conversion': 'Structural composition'}",98.0,,,Ce,250 cycles,0.004,,,,,,,,,10.1039/b904681j,2009.0,15.0
248,Magnesium vanadium oxide,Metal Oxide,"Mg, V",,,{'Propane conversion': '28%'},0.5% per hour,,823.15,30.0,0.2 g,ODH,"C3H8, O2",True,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",92.0,,,,28 h,0.036,20.265,25.8,1.4 mL/min,,,,,,10.3390/nano12162767,2022.0,28.0
249,0.11% Pt-0.84%Sn/Al2O3-mel,Alloy,"Pt, Sn","Pt, Sn",Aluminum Oxide,{'propane conversion': '33.9%'},0.021 h-1,,873.15,,"20,000 mL h-1 g-1 cat",PDH,propane,False,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Structural composition', 'Stability': 'Catalyst preparation method'}",99.1,Nanoparticulate Alloys,Impregnation Methods,,Stable for 22 hours,0.045,,,,,,,,,10.1016/j.mcat.2019.110543,2019.0,33.9
250,5Si-5Co-Al2O3,Metal Oxide,"Si, Co, Al",Co,Aluminum Oxide,{'propane conversion': '24%'},,,863.15,,27 mL/min/gcat,PDH,"C3H8, H2, N2",False,{'Stability': 'Structural Composition'},91.8,,,,22.9% conversion after 10 h,2.29,,,,,,,,,10.1016/j.jcat.2020.12.021,2021.0,24.0
251,In2O3–Ga2O3–Al2O3 mixed oxides,Metal Oxide,"In, Ga, Al","In, Ga",Aluminum Oxide,{'Propane conversion': '17.1%'},,5 vol% C3H8 in N2,873.15,20.0,0.2 g,PDH,"C3H8, N2",False,"{'Activity': 'Structural Composition', 'Stability': 'Structural Composition', 'Selectivity': 'Structural Composition'}",85.5,,,,6 h,1.0,,86.0,4.6 mmol h-1 gcat-1,,,,,,10.1002/cctc.201500916,2016.0,17.1
252,Boron oxide supported on mesoporous silica (BOS),Metal Oxide,"B, O","B, O",Silica Oxide,{'Propane conversion': '14.8-31.5%'},,,723.15,,9.4 gC3H8 gcat^-1 h^-1,ODH,"Propane, Oxygen, Nitrogen",True,"{'Conversion': 'Active species composition', 'Selectivity': 'Active species composition', 'Stability': 'Support material'}",83.1,,,,Stable for 30 h,1.25,,,,,,,,,10.1021/acscatal.9b02284,2019.0,31.5
253,Pt/S-C,Metal,Pt,Pt,Carbon-based,{'Propane conversion': '40%'},0.005 h-1,"10 vol% propane, 10 vol% H2, Ar balance",823.15,15.0,"80 mg catalyst, WHSV 2 h-1",PDH,"Propane, H2, Ar",False,"{'Selectivity': 'Interfacial electronic effects between Pt and S-C', 'Stability': 'Strong metal-sulfur bonding', 'Conversion': 'Lowered energy barrier for propane dehydrogenation'}",98.0,,,,2.1% deactivation after 600 min,,,40.0,2028 mmol gPt-1 h-1,,,,,,10.1038/s41467-021-23426-z,2021.0,40.0
254,0.1Pt-2Zn/Si-Beta,Alloy,"Pt, Zn",Pt,Zeolites,{'propane conversion': '65%'},0.02 h-1,"10% propane, 90% He",823.0,,WHSV = 6 h-1,PDH,"Propane, He",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",98.0,Nanoparticulate Alloys,Impregnation Methods,Zn,0.02 h-1,0.02,10.0,63.0,4.11 molmolPt-1s-1,,,,,,10.1016/j.jechem.2020.08.058,2021.0,65.0
255,"Me-V-O (Me = Mg, Zn, Pb)",Metal Oxide,"Mg, Zn, Pb, V, O",,,{'Propane conversion': 'N/A'},,,,,,ODH,"Propane, Oxygen",True,"{'Selectivity': 'Composition', 'Conversion': 'Composition', 'Stability': 'Crystal size'}",,,,,,,,,,,,,,,10.1006/jcat.2001.3251,2001.0,
256,PtZn intermetallic compound nanoparticles,Alloy,"Pt, Zn","Pt, Zn",Zeolites,{'Propane conversion': '40%'},0.006 gcoke gcat-1 h-1,Pure propane,853.15,,1300 h-1,PDH,Propane,False,"{'Stability': 'Preparation method', 'Activity': 'Structural composition', 'Selectivity': 'Structural composition'}",98.0,Intermetallic Compounds,Impregnation Methods,,20 days,480.0,,98.0,,,,,,,10.1021/acscatal.1c01808,2021.0,40.0
257,Pt (1 wt.%)/SBA-15,Metal,Pt,Pt,Others,{'Propane conversion': '48.7%'},,"Propane 5%, Hydrogen 4.5%, Nitrogen bal.",773.0,30.0,,PDH,"Propane, Hydrogen, Nitrogen",False,"{'Selectivity': 'Catalyst deactivation', 'Conversion': 'Reactor design'}",70.0,,,,,,,,,,,,,,10.1016/j.cattod.2010.04.044,2010.0,48.7
258,InO+/H-BEA and In+/H-BEA,Metal Oxide,In,"InO+, In+",Zeolites,,,,453573.0,,,PDH,Propane-d8,False,"{'Selectivity': 'Composition', 'Conversion': 'Composition'}",,,,,,,,,,,,,,,10.1021/acs.jpcc.2c06618,2022.0,
259,Co/H-ZSM5,Metal,Co,Co,,{'propane conversion': 'N/A'},,,773.0,,,PDH,"Propane, Helium",False,"{'Conversion': 'Active species', 'Selectivity': 'Active species', 'Stability': 'Active species'}",,,,,,,,,,,,,,,10.1021/jp013245m,2002.0,
260,Bulk vanadium oxide,Metal Oxide,"V, O",V,,{'Propane conversion': '48%'},,"20% propane, 20% oxygen",823.15,,,ODH,"Propane, Oxygen",True,"{'Conversion': 'Structural composition', 'Selectivity': 'Process conditions'}",12.0,,,,,,,,,,,,,,10.1016/j.cattod.2006.05.076,2006.0,48.0
261,VOx/SBA-15,Metal Oxide,V,V,Others,{'propane conversion': '32%'},,C3H8/O2/N2 = 1/2/17,823.15,,,ODH,"Propane, Oxygen, Nitrogen",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",81.0,,,,,,,26.0,2.8 mmol/g.h,,,,,,10.1021/acs.inorgchem.2c01741,2023.0,32.0
262,Cu-promoted zirconia (CuZrO-x),Metal Oxide,"Cu, Zr, O",Zr,,{'Propane conversion': '15-46.4%'},,,873.15,60.0,4.73 h-1,PDH,"C3H8, Ar",False,"{'Conversion': 'Promoter', 'Selectivity': 'Structural Composition'}",99.0,,,Cu,,,,,,,,,,,10.1016/j.apcata.2019.117211,2019.0,46.4
263,Fe2O3-nZrO2,Metal Oxide,"Fe, Zr",Fe,Others,"{'propane conversion': '40.8%', 'CO2 conversion': '30.8%'}","39.9 to 36.3% propane conversion over 340 min, 28.2 to 25.7% CO2 conversion over 340 min",C3H8:CO2:Ar = 1:1:1.5,823.15,8.9,12.5 g h mol-1,ODH,"C3H8, CO2, Ar",True,"{'Conversion': 'Combination with ZrO2', 'Selectivity': 'Combination with ZrO2', 'Stability': 'Combination with ZrO2'}",85.1,,,,340 min,0.529,,34.7,,,,,,,10.1039/d3cy00915g,2023.0,40.8
264,,Metal Oxide,"Cr, V, Ru, Pd, Ni, Fe, Co, Ga, Zn, Zr, Ce, Al","Cr, V",Silica Oxide,{'Propane conversion': '2-70%'},,C3H8:CO2:He/N2/Ar,923.1500000000001,60.0,"0.05-0.3 g, 200-18000 h-1",ODH,"C3H8, CO2, He, N2, Ar",True,"{'Conversion': 'Catalyst composition, Process conditions', 'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition, Preparation method'}",99.0,,,"Ru, Pd",2-140 h,140.0,,98.0,,,,,,,10.1016/j.apcata.2021.118273,2021.0,70.0
265,Cr2O3,Metal Oxide,"Cr, O",Cr,,{'propane conversion': 'N/A'},"2.88 eV (for CH3CC* formation), 2.82 eV (for C* formation)",,1123.15,,,PDH,Propane,False,"{'Conversion': 'Process Conditions', 'Selectivity': 'Process Conditions', 'Stability': 'Process Conditions'}",,,,,,,,,,,,,,,10.1016/j.jcat.2020.03.037,2020.0,
266,13 wt% Cr supported on Al2O3,Metal Oxide,Cr,Cr,Aluminum Oxide,{'Propane conversion': '30%'},,C3H8:He = 1:4,823.0,10.0,,PDH,"C3H8, He",False,"{'Selectivity': 'Coke formation', 'Conversion': 'Coke formation'}",80.0,,,,,,20.0,,,,,,,,10.1016/j.ces.2004.07.103,2004.0,30.0
267,Cr/H-ZSM5,Metal,Cr,Cr,Others,{'propane conversion': '27%'},0.04% h^-1,C3H8/O2/He = 1/4/15,773.15,100.0,1 g,ODH,"C3H8, O2, He",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",92.0,,,,120 h,0.00833,,25.0,,,,,,,10.1039/c9fd00122k,2021.0,27.0
