Name,Type,CompositionElements,ActiveSpeciesElements,SupportMaterial,ConversionTypes,DeactivationRates,FeedCompositionAndRatios,ReactionTemperature,InletFlowRate,CatalystLoadingOrGHSV,TypeIdentify,FeedGasComposition,ContainsOxidizingAgent,Enhancement,Selectivity,StructureType,PreparationMethod,PromoterElements,StabilityOriginal,ConvertedStability,PropanePartialPressure,PropyleneYield,PropaneProductionRate,PropaneConversion,ThermalConductivity,PropeneYield,PropeneProductionRate,TurnoverFrequency,DOI,Year
Chromia-pillared zirconium phosphate,Metal Oxide,"Cr, Zr, P",Cr,Zirconium phosphate,{'Propane conversion': '18.1%'},Not explicitly stated,7.06 mol% propane in helium,823 K,28.3 mL/min,25.7 gcat h molpropane-1,PDH,"Propane, Helium",No,"{'Conversion': 'Chromium content and dispersion', 'Selectivity': 'Chromium species with vacancies in coordination sphere'}",87.1%,,,,200 min,3.3 h-1,,,,,,,,,10.1021/la990504e,1999.0
Edge-hydroxylated boron nitride,Others,"B, N",B-OH,Boron nitride,{'Propane conversion': '20.6%'},,,,,,ODH,"Propane, Oxygen",Yes,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition'}",80.2%,,,,,,,,,,,,,,10.1002/cctc.201700740,2017.0
Chromia/Alumina,Metal Oxide,"Cr, Al",Cr,Alumina,{'Propane conversion': '10-35%'},,,813 K,53 cm3/min,0.4 g,PDH,"C3H8, He",No,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition'}",83-99%,,,K,2 h,0.5-1 h-1,,,,,,,,,10.1016/S0926-860X(03)00308-9,2003.0
Sulfided ZrO2,Metal Oxide,Zr,"Zr, S",ZrO2,{'propane conversion': '8.1%'},,propane/S2 = 3.7,550℃,,WHSV = 8.3 min-1,ODH,"propane, sulfur (S2)",Yes,{'Selectivity': 'Catalyst composition'},85.7%,,,,,,,,,,,,,,10.1039/d0cy01039a,2020.0
Pt/Sn-Silicalite-1,Alloy,"Pt, Sn",Pt,Silicalite-1,{'propane conversion': '42%'},0.012 h-1,Pure propane,600°C,9 ml/min,WHSV=3.2 h-1,PDH,Propane,No,"{'Stability': 'Catalyst composition', 'Selectivity': 'Catalyst composition', 'Conversion': 'Catalyst composition'}",95%,Nanoparticulate Alloys,Impregnation Methods,Sn,Stable for 70 hours,0.014 h-1,,40%,,,,,,,10.1002/cctc.202101828,2022.0
Eu2O3 and Gd2O3,Metal Oxide,"Eu, Gd","Eu, Gd",,{'Propane conversion': '10%'},,C3H8:N2 = 2:3,550℃,,,PDH,"C3H8, N2",No,"{'Conversion': 'Composition', 'Selectivity': 'Composition'}",67-80%,,,,,,,,,,,,,,10.1039/d0cc05496h,2020.0
Ga-0.7Mg/ZSM-5,Metal Oxide,"Ga, Mg",Ga,ZSM-5 zeolite,{'Propane conversion': '17.8%'},,C3H8:Ar = 1:4,600°C,40 mL/min,4.7 h-1,PDH,"C3H8, Ar",No,"{'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",90.8%,,,Mg,180 min,3 h-1,,90.8%,0.26 mmol·gcat-1·min-1,,,,,,10.1016/j.apcata.2022.118778,2022.0
VOx/MCM-41,Metal Oxide,V,V,Silica Oxide,{'Propane conversion': '20-21%'},25% in 24 h,C3H8/N2 = 40/60,823 K,3 mL/min,150 mg/reactor,PDH,"C3H8, N2",No,"{'Stability': 'Structural Composition', 'Conversion': 'Structural Composition'}",90-91%,,,,24 h,1 h-1,,15-21.5%,0.15-0.2 gC3H6/gcat/h,,,,,,10.1016/j.jcat.2012.06.005,2012.0
Ga/H-ZSM-5,Metal,Ga,Ga,ZSM-5 zeolite,{'Propane conversion': '5.5%'},Below 5% after 12 h time on stream,"5 vol% C3H8, 95 vol% N2",530-570°C,,3.8-15 mg catalyst,PDH,"C3H8, N2",No,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",85%,,,H,Stable for 12 h,0 h-1,5.07 kPa,85%,34.0 × 10–3 molC3H8·molAl–1·s–1,,,,,,10.1021/acscatal.1c01497,2021.0
Isolated gallium sites on silica,Single atom,Ga,Ga,Silica oxide,{'Propane conversion': 'N/A'},,,,,,PDH,Propane,No,"{'Conversion': 'Structural composition', 'Stability': 'Structural composition', 'Selectivity': 'Structural composition'}",,,,,,,,,,,,,,,10.1021/acs.inorgchem.0c03135,2021.0
Sol-gel alumina membrane,Metal Oxide,Al,Al,Alumina,{'Yields': 'Higher than equilibrium'},,,,,,PDH,"Propane, Propylene, Hydrogen",No,{'Conversion': 'Reactor design (membrane reactor)'},,,,,,,,,,,,,,,10.1016/0376-7388(93)85071-4,1993.0
0.5Pt-2.6Zn/Na-Beta,Alloy,"Pt, Zn","Pt, Zn",Beta Zeolite,{'Propane Conversion': '29%'},,,555°C,2.6 h-1,400 mg,PDH,Propane,No,"{'Stability': 'Zeolite support and Pt-Zn interaction', 'Conversion': 'Zeolite support and Pt-Zn interaction', 'Selectivity': 'Zeolite support and Pt-Zn interaction'}",90%,Nanoparticulate Alloys,Impregnation Methods,,63 h,63 h-1,0.1 MPa,,,,,,,,10.1016/j.apcata.2006.03.028,2006.0
MoVTeNb M1 oxide,Metal Oxide,"Mo, V, Te, Nb","Mo, V",,{'Propane conversion': '27%'},,C3H8/O2/He = 1/4/95,550°C,,"30,000 h-1",ODH,"C3H8, O2, He",Yes,{'Conversion': 'Structural composition'},80%,,,,Stable for 100 h,,,,,,,,,,10.1021/acs.inorgchem.3c02689,2023.0
Chromia/alumina,Metal oxide,"Cr, Al",Cr,Alumina,{'Propane conversion': 'N/A'},,,,,,PDH,Propane,No,"{'Stability': 'Catalyst composition', 'Activity': 'Catalyst preparation'}",,,,,,,,,,,,,,,10.1006/jcat.2001.3372,2001.0
Zn/H-MFI,Metal,Zn,Zn,H-MFI zeolite,{'Propane conversion': 'Less than 9%'},,,713 to 773 K,,"
					7 to 22 mol Al·s/mol C3H8
				",PDH,"Propane, Helium",No,"{'Conversion': 'Preparation Method', 'Selectivity': 'Structural Composition'}",88-90%,,,,,,0.8 to 4.5 kPa,,,,,,,,10.1021/acscatal.1c03641,2021.0
Ga/H-ZSM-5,Metal,Ga,Ga,H-ZSM-5,,,,600℃,,,PDH,,No,{'Conversion': 'Catalyst Composition'},,,,,,,,61%,,94%,,,,,10.1016/j.cattod.2004.06.051,2004.0
Cr-MSUx,Metal Oxide,Cr,Cr,Silica,{'propane conversion': '84%'},,CO2/C3H8 = 1,700 °C,,,ODH,"C3H8, CO2",Yes,"{'Conversion': 'Catalyst composition', 'Yield': 'Catalyst composition'}",62%,,,,,,,55%,,,,,,,10.1016/j.cep.2020.107959,2020.0
Ethanol-pretreated CrOx/SiO2,Metal Oxide,Cr,Cr,Silica Oxide,{'propane conversion': '41.4%'},,,873 K,20 mL/min,200 mg,ODH,"C3H8, CO2, He",Yes,"{'Conversion': 'Pretreatment Method', 'Stability': 'Maintaining active Cr3+ state'}",84.8%,,,,,,,,,,,,,,10.1016/S1872-2067(15)61042-7,2016.0
Hybrid nanocarbon,Others,C,C,None,{'Propane conversion': '10.6%'},,2% propane in He,550°C,15 mL/min,250 mg,PDH,"Propane, Helium",No,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",90%,,,,Stable for 8 h on stream,,,,9.7 x 10^-8 mol g^-1 s^-1,,,,,,10.1002/chem.201400018,2014.0
PtIn/Mg(Al)O,Alloy,"Pt, In",Pt,Mg(Al)O,{'propane conversion': '48%'},0.126% per hour,H2:C3H8:N2 = 7:8:35 (molar ratio),600 ℃,,WHSV = 3 h-1,PDH,"H2, N2, C3H8",No,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",97%,Nanoparticulate Alloys,Impregnation Methods,In,190 h,7.9 h-1,,,,,,,,,10.3390/catal9090767,2019.0
ZnO-deAl beta,Metal Oxide,"Zn, O",,Dealuminated beta zeolite,{'Propane conversion': '30%'},,C3H8:N2 = 2:3,550℃,,8 wt% ZnO,PDH,"Propane, Nitrogen",No,"{'Conversion': 'Support material', 'Selectivity': 'Support material', 'Stability': 'Support material'}",87-93%,,,,3 h,0.11-0.12 h-1,,87-93%,1.99 mmol g-1 min-1,,,,,,10.1021/acscatal.2c05704,2023.0
CoN@OCNT,Single Atom,"Co, N","Co, N",Carbon nanotubes (CNT),{'propane conversion': '20%'},,"2.4% C3H8, He balance",570℃,15 mL/min,"0.20 g catalyst, GHSV 2.4 ml mg-1 h-1",PDH,"Propane (C3H8), Helium (He)",No,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",95%,,,,20 h,0.83 h-1,,95%,0.45 mmol g-1 h-1,,,,,,10.1002/cctc.202100410,2021.0
"Transition metals (Pt, Pd, Cu, Ni, Co, Rh, Ag, Au) and their alloys",Metal,"Pt, Pd, Cu, Ni, Co, Rh, Ag, Au","Pt, Pd, Cu, Ni, Co, Rh, Ag, Au",,{},,,,,,Both PDH and ODH,Propane,No,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",,,,"O, OH",,,,,,,,,,,10.1021/acs.jpcc.0c08076,2020.0
MoVTeNbO mixed metal oxide,Metal Oxide,"Mo, V, Te, Nb","V, Mo",,{'propane conversion': '3.6-28%'},,"C3H8/O2/H2O/He = 4/8/x/88-x (x = 0-30), C3H8/O2/NH3/He = 4/12/x/84-x (x = 0-12)",320-440℃,,,ODH,"Propane, Oxygen, Helium, Steam, Ammonia",Yes,"{'Conversion': 'Feed composition', 'Selectivity': 'Feed composition'}",15.2-70%,,,,,,,,,,,,,,10.1016/j.cattod.2004.06.148,2004.0
PtNa/Zn(1.0%)-ZSM-5,Metal,"Pt, Na, Zn",Pt,ZSM-5 zeolite,{'Propane conversion': '40.60%'},7.3% after 10 h,H2/C3 = 0.25 (molar ratio),590℃,,WHSV = 3.0 h-1,PDH,"Propane, Hydrogen",No,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Catalyst preparation method', 'Stability': 'Catalyst preparation method'}",91.4%,,,"Na, Zn",7.3% deactivation after 10 h,0.0073 h-1,,37.1%,,,,,,,10.1016/j.cej.2015.01.008,2015.0
BS-1,Single Atom,"B, Si",B,Zeolite,{'Propane conversion': '41.4%'},,C3H8/O2/He = 1/1/8,560℃,,3600 L kg-1 h-1,ODH,"C3H8, O2, He",Yes,"{'Stability': 'Structural Composition', 'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",81.2%,,,,210 hours,8.8 h-1,,33.6%,,,,,,,10.1126/science.abe7935,2021.0
Edge-hydroxylated boron nitride (BNOH),Others,"B, N, O","B, O",Boron nitride,{'Propane conversion': '20.6%'},,C3H8:O2:He = 1:1.5:3.5,530 ℃,192 mL/min,37.6 g/gcat/h,ODH,"C3H8, O2, He",Yes,"{'Selectivity': 'Structural composition (B-OH groups)', 'Conversion': 'Structural composition (B-OH groups)', 'Stability': 'Structural composition (B-OH groups)'}",80.2%,,,,300 h,12.5 h-1,,80.2%,,,,,,,10.1002/cctc.201700004,2017.0
Cr/Al2O3 catalyst,Metal Oxide,"Cr, Al",Cr,Aluminum Oxide,{'propane conversion': '10%'},,,580 ℃,,,PDH,"propane, He",No,{'Conversion': 'Structural Composition'},,,,,,,,,,,,,,,10.1039/b309650p,2003.0
SnOx/SiO2,Metal Oxide,Sn,Sn,Silica Oxide,{'propane conversion': '29.9%'},46.6% in 5 h,Pure propane feed,600℃,0.37 h-1 WHSV,,PDH,Propane,No,"{'Stability': 'Structural Composition', 'Selectivity': 'Structural Composition'}",84%,,,,5 h,1 h-1,,84%,,,,,,,10.1016/j.cattod.2020.05.053,2021.0
Various oxide-based catalysts,Metal Oxide,V,V,Oxides,{'N/A': 'N/A'},,,,,,ODH,"Propane, Air",Yes,{'Selectivity': 'Absence of pure V2O5 phase'},,,,,,,,,,,,,,,10.1016/0926-860X(93)80120-F,1993.0
Pt/H-MFI,Metal,Pt,Pt,H-MFI zeolite,{'Propane conversion': 'N/A'},,C3H8/C6H6=1,573-773 K,WHSV=0.2-7 h^-1,,PDH,"Propane, Benzene",No,"{'Selectivity': 'Incorporation of Pt into the catalytic system', 'Conversion': 'Addition of an H2 scavenger'}",60%,,,,,,Atmospheric,96%,,,,,,,10.1006/jcat.2000.2910,2000.0
Hexagonal boron nitride,Metal Oxide,"B, N","B, O",,{'Propane conversion': '11.6-33.1%'},,C3H8:O2:N2 = 8:8:24,490-500℃,40 mL/min,100 mg,ODH,"C3H8, O2, N2",Yes,"{'Conversion': 'Co-feeding propane and propylene', 'Selectivity': 'Minimizing over-oxidation'}",97.6%,,,,,,,,,,,,,,10.1038/s41467-022-35776-3,2023.0
V2O5/TiO2,Metal Oxide,"V, Ti",V,TiO2,{'Propane conversion': '0-70%'},,"C3H8/O2 = 1/1, 1/3, 2/1, 2/3",498-673 K,,,ODH,"C3H8, O2",Yes,{'Selectivity': 'Promoter'},5-65%,,,Rb,,,,,,,,,,,10.1016/j.apcata.2004.04.021,2004.0
Pd-In intermetallic alloy nanoparticles,Alloy,"Pd, In",Pd,Silica oxide,{'Propane conversion': '20%'},,H2/C3H8 = 1:1,873 K,,,PDH,"C3H8, H2, Ar",No,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",99%,Intermetallic compounds,Impregnation methods,In,,,,,,,,,,,10.1021/acscatal.1c01916,2021.0
Co-N-C/SiO2,Metal,"Co, N, C",Co,Silica Oxide,{'Propane conversion': '12-16%'},,,600°C,7500 mL/h/gcat,0.2 g,PDH,"Propane, Nitrogen",No,"{'Conversion': 'Structural composition', 'Stability': 'Preparation method', 'Selectivity': 'Preparation Method'}",95%,,,,,,,,,,,,,,10.3390/catal12101262,2022.0
Zn/H-ZSM5,Metal Oxide,Zn,Zn,ZSM5 zeolite,{},,"Propene/2-13C propane mixtures, C3H8/C3D8, H2/D2, C3H8/D2",,,,PDH,"Propane, Propene, Deuterium (D2)",No,"{'Selectivity': 'Catalyst composition (Zn cations)', 'Conversion': 'Catalyst composition (Zn cations)'}",,,,,,,,,,,,,,,10.1006/jcat.1998.2312,1999.0
Monoclinic and tetragonal ZrO2,Metal Oxide,Zr,Zr,,{'Propane conversion': '5-33%'},,40 vol% C3H8 in N2,500-550℃,6-80 mL/min,0.1-1.5 g,PDH,"C3H8, N2",No,"{'Activity': 'Crystallite size, phase composition', 'Selectivity': 'Crystallite size, phase composition'}",83-90%,,,,,,,,,,,,,,10.1016/j.jcat.2019.02.012,2019.0
Fe-ZSM-5,Metal Oxide,Fe,,ZSM-5 zeolite,{'Propane conversion': '29.2-40%'},39% to 17% over 415 min,"5% C3H8, 5% N2O, N2O:C3H8 = 2:1",450-500℃,200 cm3/min,0.5 g,ODH,"C3H8, N2O",Yes,"{'Selectivity': 'Steam and high temperature treatments', 'Stability': 'Steam and high temperature treatments'}",17-73.2%,,,,415 min,6.9-6.92 h-1,,6-20%,,,,,,,10.1016/j.apcata.2012.06.038,2012.0
7.5Cr/Ce0.8Zr0.2O2,Metal Oxide,"Cr, Ce, Zr",Cr,Ceria-zirconia mixed oxide,{'Propane conversion': '50%'},No significant deactivation,"20% propane, 20% oxygen",600℃,50 mL/min,6000 h-1,ODH,"Propane, Oxygen",Yes,"{'Selectivity': 'Structural composition', 'Stability': 'Chemical looping process'}",31%,,,,Stable for 50 cycles,,,31%,,,,,,,10.1016/j.ces.2023.118697,2023.0
Co@NC-ZIFSA,Metal-Nitrogen-Carbon,"Co, N, C","Co, N",Graphitic carbon,{'Propane conversion': '29%'},,"10% propane, 90% N2",600°C,,7500 ml h-1 gcat-1,PDH,"Propane, Nitrogen",No,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",97%,,,,5 h,5,,97%,,,,,,,10.1016/j.catcom.2022.106495,2022.0
Nitrogen-doped graphene monolith,Others,"C, N",,Graphene,{'propane conversion': '10%'},,"4% propane, 2% O2, balance He",450℃,15 ml/min,40 mg,ODH,"propane, O2, He",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",55%,,,,10 h,0.1 h-1,,5.3%,,,,,,,10.3389/fchem.2021.759936_full,
Pt-Sn/Al2O3,Alloy,"Pt, Sn",Pt,Al2O3,{'Propane conversion': '35.3%'},,C3H8/H2/Ar = 11 : 6 : 33,575℃,100 mL/min,17.9 h-1,PDH,"Propane, Hydrogen, Argon",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",94%,Nanoparticulate Alloys,Co-impregnation,Sn,,,,,,,,,,,10.1039/d2cy00921h,2022.0
Boron nitride (BN),Others,"B, N","B, N",,{'propane conversion': '9.7%'},,"10% C3H8, 20% O2, balanced in Ar",600 ℃,10 mL/min,,ODH,"C3H8, O2, Ar",Yes,"{'Selectivity': 'Catalyst composition', 'Conversion': 'Gas-phase route'}",92%,,,,,,,,,,,,,,10.1021/jacs.2c12970,2023.0
PtSn/Al2O3-0.10,Metal,"Pt, Sn","Pt, Sn",Alumina,{'propane conversion': '53%'},0.012-0.014 h^-1,1:0.6 = C3H8:H2,618℃,,3.5 h^-1,PDH,"C3H8, H2",No,"{'Stability': 'Support Material', 'Conversion': 'Support Material', 'Selectivity': 'Preparation Method'}",77.3-80.1%,,,,35.95% after 30h,0.012-0.014 h^-1,,77.3%,,,,,,,10.1016/j.jcis.2023.05.144,2023.0
Pt-Sn/ZrO2,Metal Oxide,"Pt, Sn, Zr, O","Pt, Sn",Zirconium Oxide,{'Propane conversion': '40%'},,,,,,ODH,"Propane, Oxygen",Yes,"{'Selectivity': 'Catalyst composition', 'Conversion': 'Catalyst composition'}",95%,,,"Sn, Zr",,,,,,,,,,,10.1016/j.ces.2011.11.047,2012.0
Mn1-(Vvac)-V2O3(0001),Metal Oxide,"V, O, Mn","Mn, V, O",,{'Propane conversion': 'N/A'},,,850 K,,,PDH,Propane,No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",,,,Mn,,,,,,,,,,,10.1016/j.cattod.2020.02.023,2021.0
Tetrahedral nickel(II) phosphosilicate,Metal,"Ni, P, Si",Ni,Silica oxide,{'Propane conversion': '18%'},2% over 3h,,600℃,,,PDH,C3H8,No,"{'Stability': 'Structural composition', 'Selectivity': 'Structural composition'}",90%,,,,16% conversion after 3h,0.133 h^-1,,,,,,,,,10.1002/cctc.201701815,2018.0
Fe/SiO2,Metal Oxide,Fe,Fe,Silica Oxide,{'Propane conversion': '49.5%'},,H2S/C3H8 = 0.4,600℃,,0.25 g,PDH,"C3H8, H2S, He",No,"{'Stability': 'Co-feeding H2S', 'Conversion': 'Co-feeding H2S', 'Selectivity': 'Iron sulfide active species'}",94.4%,,,S,50 h,50 h-1,,,,,,,,,10.1016/j.apcata.2019.117238,2019.0
0.04CrSBA1,Metal Oxide,"Cr, Si",Cr,Silica Oxide,{'propane conversion': '26.7%'},10.1% activity loss after 240 min,CO2:C3H8:He = 5:1:9,550℃,30 cm3/min,200 mg catalyst,ODH,"Propane (C3H8), Carbon Dioxide (CO2), Helium (He)",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",90.2%,,,,not mentioned,not mentioned,not mentioned,24.1%,not mentioned,,,,,,10.1016/j.apcata.2009.11.040,2010.0
InO+/H-BEA,Metal Oxide,In,In,BEA Zeolite,{'Propane conversion': 'N/A'},,,473-673 K,,,ODH,Propane,No,"{'Conversion': 'Active species (InO+)', 'Selectivity': 'Active species (InO+)'}",,,,,,,,,,,,,,,10.1021/acs.jpcc.2c05888,2022.0
Pt-In/Sm-TiO2,Alloy,"Pt, In, Sm, Ti, O","Pt, In",Titanium Oxide,{'Propane conversion': '19.3%'},,Pure propane,300 ℃,,,PDH,Propane,No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",97%,Nanoparticulate Alloys,Impregnation Methods,Sm,,,,19.3%,,,,,,,10.1002/anie.202300744,2023.0
V-Al-O catalysts,Metal Oxide,"V, Al, O",V,Alumina,{'Propane conversion': '29%'},Very slow after initial period,C3H8:O2:He:N2 = 11:11:28:4 (vol%),320-530℃,22 cm^3/min,0.5-0.6 g,ODH,"C3H8, O2, He, N2",Yes,"{'Conversion': 'Increasing V content', 'Selectivity': 'Anaerobic operation'}",10-40%,,,,Stable for 20-30 hours,0.83-1.25 h^-1,,10-25%,,,,,,,10.1016/j.cattod.2008.05.020,2009.0
Reused Cr adsorbent,Metal Oxide,Cr,Cr,MCM-41,{'Propane conversion': 'N/A'},,,,,,PDH,Propane,No,"{'Stability': 'Avoiding addition of anions during preparation', 'Conversion': 'Catalyst preparation method'}",,,,,,,,,,,,,,,10.1021/acssuschemeng.8b05206,2019.0
Pt4 cluster supported on carbon nanotube,Metal,Pt,Pt,Carbon nanotube,{'Propane conversion': 'N/A'},,,,,,PDH,Propane,No,"{'Stability': 'Structural composition', 'Conversion': 'Structural composition'}",,,,Sn,,,,,,,,,,,10.1002/cjoc.202000415,2021.0
ZnZrxOy,Metal Oxide,"Zn, Zr","Zn, Zr",,{'propane conversion': '21%'},,5 vol% C3H8 in N2,450℃,25.0 mL/min,0.1 g,PDH,"C3H8, N2",No,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",92%,,,,,,,,,,,,,,10.1021/acssuschemeng.1c03074,2021.0
In2O3-Al2O3,Metal Oxide,"In, Al",In,Alumina,{'Propane conversion': '35.7%'},2.9% loss after 8 h,Propane:CO2:N2 = 2.5:10:87.5 (vol%),873 K,10 mL/min,200 mg,PDH,"Propane, CO2, N2",No,"{'Stability': 'Structural Composition', 'Conversion': 'Structural Composition'}",76.5%,,,,20 h,0.05 h-1,2.5 kPa,27%,,,,,,,10.1016/j.apcata.2010.01.011,2010.0
Rh/Al2O3,Metal,Rh,Rh,Al2O3,{'propane conversion': 'Not specified'},Not specified,C/O ratio,823-933 K,16.1 slpm,Not specified,ODH,"C3H8, O2, H2O, Ar",Yes,"{'Conversion': 'Reaction temperature', 'Selectivity': 'Feed composition'}",Not specified,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,10.1002/cctc.201601237,2017.0
Pt/0.5Sn-SBA-15,Alloy,"Pt, Sn",Pt,Silica Oxide,{'propane conversion': '43.8%'},12.6%,propane:Ar = 7:3 (molar ratio),580 ℃,WHSV = 8.25 h-1,0.2 g,PDH,"propane, Ar",No,"{'Selectivity': 'Structural Composition', 'Conversion': 'Preparation Method', 'Stability': 'Preparation Method'}",98.5%,Nanoparticulate Alloys,In Situ Synthesis,Sn,6 h,1 h-1,,43.1%,,,,,,,10.1016/S1872-2067(17)62805-5,2017.0
ZnNbO,Metal Oxide,"Zn, Nb","Zn, Nb",,{'propane conversion': '28.1%'},,propane,600 ℃,,0.20 g s/cm3,PDH,propane,No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",84%,,,,28.1% after 1 h,1 h-1,,28.1%,,,,,,,10.1016/j.catcom.2014.03.007,2014.0
Chromia/Alumina (Cr2O3/γ-Al2O3),Metal Oxide,"Cr, Al",Cr,Alumina,{'Propane conversion': '18%'},,Undiluted propane,500°C,16.5 μmol/s,0.35 h-1,PDH,Propane,No,"{'Conversion': 'Reactor design', 'Selectivity': 'Reactor design'}",85-95%,,,,Stable for 7 hours,0.14 h-1,,18%,16.5 μmol/s,,,,,,10.1016/S0920-5861(99)00257-6,2000.0
Pt-Sn/Al2O3,Alloy,"Pt, Sn",Pt,Al2O3,{'Propane conversion': '3%'},,"5% C3H8, 95% He",848 K,,,PDH,"Propane, Helium",No,"{'Activity': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92-100%,Single-atom Alloys,In Situ Synthesis,Sn,,,,,,,,,,,10.1021/acscatal.2c05671,2023.0
2% B-SFC,Carbon,"C, B",B,Sisal fiber carbon,{'Propane conversion': '2.0%'},,C3H8:O2:Ar = 2:1:37,400°C,40 ml/min,GHSV = 120 h-1,ODH,"C3H8, O2, Ar",Yes,"{'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",88.6%,,,,55 h,55 h-1,,88.6%,,,,,,,10.1016/j.cjche.2023.03.006,2023.0
Pt/HZSM-5,Metal,Pt,Pt,Zeolite HZSM-5,{'propane conversion': '10-11%'},0.038-0.06 h^-1,pure propane,450℃,20 mL/min,6000 h^-1,PDH,propane,No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",15-40%,,,,16-18 h,0.06-0.067 h^-1,atmospheric,40%,550-800 μmol/g/min,,,,,,10.1016/j.apcata.2023.119368,2023.0
PtSn/TS-1,Alloy,"Pt, Sn","Pt, Sn",TS-1 zeolite,{'propane conversion': '53.5%'},6%/7 h,C3H8:H2:N2 = 1:1:4,600℃,WHSV = 3 h-1,WHSV = 3 h-1,PDH,"C3H8, H2, N2",No,{'Stability': 'Support Material'},92.5%,Nanoparticulate Alloys,Impregnation Methods,,7 h,0.14 h-1,,,,,,,,,10.1016/S1872-2067(19)63360-7,2019.0
In2O3/Al2O3,Metal Oxide,"In, Al, O",In,Alumina,{'propane conversion': '20-24%'},gradual,C3H8:CO2:N2 = 2.5:10:87.5,873 K,10 mL/min,200 mg,ODH,"C3H8, CO2, N2",Yes,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",84%,,,,8 h,1 h-1,2.5 kPa,19.8%,,,,,,,10.1016/j.apcata.2011.08.018,2011.0
ZrO2,Metal Oxide,"Zr, O",Zr,None,{'propane conversion': '10%'},,40 vol% C3H8 in N2,550℃,10 mL/min,,PDH,"C3H8, N2",No,"{'Activity': 'Preparation Method', 'Selectivity': 'Preparation Method', 'Stability': 'Preparation Method'}",80-85%,,,,20 cycles,,,85%,0.33 mmol/g/min,,,,,,10.1016/j.apcata.2019.117189,2019.0
Pt-Zn/H-ZSM-5,Alloy,"Pt, Zn","Pt, Zn",H-ZSM-5 zeolite,{'Propane conversion': '32%'},0.024 h-1,C3H8/O2 = 1.5,550℃,120 mL/min,"30,000 mL/gcat/h",ODH,"C3H8, O2",Yes,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Zeolite support'}",90%,Bimetallic nanoparticles,Wet impregnation,,12 h,0.083 h-1,,29%,120 g/gcat/h,,,,,,10.1016/j.cattod.2023.114365,2024.0
PtIn/Mg(Al)O,Alloy,"Pt, In","Pt, In",Mg(Al)O (calcined hydrotalcite),{'Propane conversion': '61%'},"42% after 50 h, 16.7% after 48 h",,620℃,WHSV 3.3 h-1,0.3 g catalyst,PDH,"H2, C3H8, Ar",No,"{'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",95%,Nanoparticulate Alloys,Impregnation Methods,In,50 h,2.08 h-1,,,,,,,,,10.1039/c5ra11284b,2015.0
VSbBiBaO/Al2O3,Metal Oxide,"V, Sb, Bi, Ba, O",V,Al2O3,{'Propane conversion': '24.5%'},,C3H8/O2/10%Ne-He = 10/8.7/81.3,380°C,25 ml/min,2500 ml/g/h,ODH,"C3H8, O2, Ne, He",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",11.9%,,,"Bi, Ba",,,,2.9%,,,,,,,10.1039/d3cy00207a,2023.0
Pd/Ag composite membrane,Alloy,"Pd, Ag","Pd, Ag",,{'propane conversion': 'N/A'},,,,,,PDH,propane,No,"{'Conversion': 'Composite membrane', 'Stability': 'Reactor design'}",,,,,,,,,,,,,,,10.1016/S0376-7388(97)00133-6,1997.0
